movie_title;imdb_score;movie_facebook_likes
Domestic Disturbance;5.5;361
Black Mass;7.0;44000
Flags of Our Fathers;7.1;0
Law Abiding Citizen;7.4;21000
Grindhouse;7.6;0
Beloved;5.9;853
Lucky You;5.9;672
Catch Me If You Can;8.0;15000
Zero Dark Thirty;7.4;39000
The Break-Up;5.8;0
Mamma Mia!;6.3;10000
Valentine's Day;5.7;9000
The Dukes of Hazzard;5.1;0
The Thin Red Line;7.6;0
The Change-Up;6.4;13000
Man on the Moon;7.4;0
Casino;8.2;11000
From Paris with Love;6.5;0
Bulletproof Monk;5.5;846
Me, Myself & Irene;6.5;0
Barnyard;5.6;605
Deck the Halls;4.9;1000
The Twilight Saga: New Moon;4.6;13000
Shrek;7.9;0
The Adjustment Bureau;7.1;36000
Robin Hood: Prince of Thieves;6.9;0
Jerry Maguire;7.3;0
Ted;7.0;74000
As Good as It Gets;7.7;11000
Patch Adams;6.7;0
Anchorman 2: The Legend Continues;6.3;41000
Mr. Deeds;5.8;0
Super 8;7.1;37000
Erin Brockovich;7.3;0
How to Lose a Guy in 10 Days;6.4;0
22 Jump Street;7.1;24000
Interview with the Vampire: The Vampire Chronicles;7.6;11000
Yes Man;6.8;0
Central Intelligence;6.6;10000
Stepmom;6.7;0
Daddy's Home;6.1;13000
Into the Woods;6.0;90000
Inside Man;7.6;0
Payback;7.1;0
Congo;5.0;0
We Bought a Zoo;7.1;22000
Knowing;6.2;0
Failure to Launch;5.6;2000
The Ring Two;5.4;0
Crazy, Stupid, Love.;7.4;44000
Garfield;5.0;795
Christmas with the Kranks;5.2;0
Moneyball;7.6;27000
Outbreak;6.6;0
Non-Stop;7.0;24000
Race to Witch Mountain;5.7;0
V for Vendetta;8.2;48000
Shanghai Knights;6.2;955
Unforgotten;7.9;0
Curious George;6.6;624
Herbie Fully Loaded;4.7;1000
Don't Say a Word;6.3;970
Hansel & Gretel: Witch Hunters;6.1;45000
Unfaithful;6.7;0
I Am Number Four;6.1;27000
Syriana;7.0;0
13 Hours;7.4;44000
The Book of Life;7.3;18000
Firewall;5.8;773
Absolute Power;6.7;1000
G.I. Jane;5.8;2000
The Game;7.8;25000
Silent Hill;6.6;0
The Replacements;6.5;0
American Reunion;6.7;39000
The Negotiator;7.3;3000
Into the Storm;5.8;15000
Beverly Hills Cop III;5.5;669
Gremlins 2: The New Batch;6.3;0
The Judge;7.4;47000
The Peacemaker;5.9;0
Resident Evil: Apocalypse;6.2;0
Bridget Jones: The Edge of Reason;5.9;0
Out of Time;6.5;1000
On Deadly Ground;4.4;812
The Adventures of Sharkboy and Lavagirl 3-D;3.5;0
The Beach;6.6;0
Raising Helen;6.0;718
Ninja Assassin;6.4;0
For Love of the Game;6.5;0
A Touch of Frost;7.8;361
Striptease;4.3;877
Marmaduke;4.2;0
Hereafter;6.5;16000
Murder by Numbers;6.1;0
Assassins;6.3;0
Hannibal Rising;6.2;3000
The Story of Us;5.9;0
The Host;5.9;43000
Basic;6.5;0
Blood Work;6.4;705
The International;6.5;0
Escape from L.A.;5.7;0
Twisted;7.5;915
The Iron Giant;8.0;0
The Life Aquatic with Steve Zissou;7.3;0
Free State of Jones;6.7;10000
The Life of David Gale;7.5;0
Man of the House;5.4;779
Run All Night;6.6;15000
Eastern Promises;7.7;0
Into the Blue;5.8;0
The Messenger: The Story of Joan of Arc;6.4;0
Your Highness;5.6;18000
Dream House;6.0;0
Mad City;6.2;697
Baby's Day Out;5.9;0
The Scarlet Letter;5.1;943
Fair Game;6.8;9000
Defiance;7.0;0
Domino;6.0;0
Jade;5.1;422
Gamer;5.8;0
Beautiful Creatures;6.2;14000
Death to Smoochy;6.4;0
Zoolander 2;4.8;28000
The Big Bounce;4.9;288
What Planet Are You From?;5.6;255
Drive Angry;5.5;15000
Street Fighter: The Legend of Chun-Li;3.7;0
The One;5.9;0
Outlander;8.5;31000
The Adventures of Ford Fairlane;6.3;2000
Pirate Radio;7.4;21000
Traffic;7.6;0
Indiana Jones and the Last Crusade;8.3;0
Anna Karenina;6.6;36000
Chappie;6.9;67000
The Bone Collector;6.7;0
Panic Room;6.8;0
The Tooth Fairy;4.6;352
Three Kings;7.1;3000
Child 44;6.4;18000
Rat Race;6.4;0
K-PAX;7.4;0
Kate & Leopold;6.4;0
Bedazzled;6.0;0
The Cotton Club;6.5;828
3:10 to Yuma;7.8;0
Taken 3;6.0;38000
Out of Sight;7.0;0
The Cable Guy;6.0;0
Earth;7.8;522
Dick Tracy;6.1;2000
The Thomas Crown Affair;6.8;0
Riding in Cars with Boys;6.4;0
First Blood;7.7;0
Solaris;8.1;0
Happily N'Ever After;4.5;261
Mary Reilly;5.8;616
My Best Friend's Wedding;6.3;0
America's Sweethearts;5.7;881
Insomnia;7.2;0
Star Trek: First Contact;7.6;3000
Jonah Hex;4.7;0
Courage Under Fire;6.6;975
Liar Liar;6.8;0
The Infiltrator;7.3;0
Inchon;2.7;115
The Flintstones;4.8;0
Taken 2;6.3;63000
Scary Movie 3;5.5;0
Miss Congeniality;6.2;0
Journey to the Center of the Earth;5.8;0
The Princess Diaries 2: Royal Engagement;5.7;1000
The Pelican Brief;6.5;0
The Client;6.7;1000
The Bucket List;7.4;22000
Patriot Games;6.9;0
Monster-in-Law;5.5;0
Prisoners;8.1;86000
Training Day;7.7;0
Galaxy Quest;7.3;19000
Scary Movie 2;5.2;0
The Muppets;7.1;26000
Blade;7.1;0
Coach Carter;7.2;0
Changing Lanes;6.5;0
Anaconda;4.6;0
Coyote Ugly;5.6;0
Love Actually;7.7;52000
A Bug's Life;7.2;0
From Hell;6.8;0
The Specialist;5.4;0
Tin Cup;6.3;1000
Yours, Mine and Ours;7.2;0
Kicking & Screaming;5.6;743
The Hitchhiker's Guide to the Galaxy;6.8;10000
Fat Albert;4.3;531
Resident Evil: Extinction;6.3;0
Blended;6.5;12000
Last Holiday;6.4;0
The River Wild;6.3;0
The Indian in the Cupboard;5.9;0
Savages;6.5;28000
Cellular;6.5;2000
Johnny English;6.1;2000
The Ant Bully;5.9;593
Dune;6.6;11000
Across the Universe;7.4;14000
Revolutionary Road;7.3;0
16 Blocks;6.6;0
Babylon A.D.;5.6;0
The Glimmer Man;5.3;451
Multiplicity;6.0;0
Aliens in the Attic;5.4;916
The Pledge;6.8;0
The Producers;6.4;0
Dredd;7.1;46000
The Phantom;4.9;0
All the Pretty Horses;5.8;652
Nixon;7.1;915
The Ghost Writer;7.2;15000
Deep Rising;6.0;0
Miracle at St. Anna;6.0;0
Curse of the Golden Flower;7.0;0
Bangkok Dangerous;5.4;0
Big Trouble;6.5;892
Love in the Time of Cholera;6.4;0
The Returned;8.3;17000
Shadow Conspiracy;4.9;68
Johnny English Reborn;6.3;17000
Foodfight!;1.7;0
Argo;7.7;89000
The Fugitive;7.8;0
The Bounty Hunter;5.5;0
Sleepers;7.5;0
Rambo: First Blood Part II;6.4;0
The Juror;5.6;353
Pinocchio;7.5;0
Heaven's Gate;6.8;1000
Underworld: Evolution;6.8;0
Victor Frankenstein;6.0;11000
Finding Forrester;7.3;0
28 Days;6.0;0
Unleashed;7.0;0
The Sweetest Thing;5.1;0
The Firm;6.8;0
Charlie St. Cloud;6.5;0
The Mechanic;6.6;16000
21 Jump Street;7.2;39000
Notting Hill;7.0;11000
Chicken Run;7.0;0
Along Came Polly;5.9;0
Boomerang;5.4;0
The Heat;6.6;24000
Cleopatra;7.0;0
Here Comes the Boom;6.5;17000
High Crimes;6.3;893
The Mirror Has Two Faces;6.5;0
The Mothman Prophecies;6.5;0
Brüno;5.8;0
Licence to Kill;6.6;0
Red Riding Hood;5.4;20000
15 Minutes;6.1;748
Super Mario Bros.;4.0;0
Lord of War;7.6;10000
Hero;7.9;0
One for the Money;5.3;19000
The Interview;6.6;50000
The Warrior's Way;6.3;0
McHale's Navy;7.5;455
Micmacs;7.2;0
8 Mile;7.0;0
Animal Kingdom: Let's go Ape;4.9;161
A Knight's Tale;6.9;0
The Medallion;5.2;505
The Sixth Sense;8.1;14000
Man on a Ledge;6.6;11000
The Big Year;6.2;11000
The Karate Kid;7.2;0
American Hustle;7.3;63000
The Proposal;6.7;10000
Double Jeopardy;6.4;0
Back to the Future Part II;7.8;12000
Lucy;6.4;83000
Fifty Shades of Grey;4.1;101000
Spy Kids 3-D: Game Over;4.1;681
A Time to Kill;7.4;0
Cheaper by the Dozen;5.8;0
Lone Survivor;7.6;58000
A League of Their Own;7.2;0
The Conjuring 2;7.8;40000
The Social Network;7.7;74000
He's Just Not That Into You;6.4;12000
Scary Movie 4;5.1;1000
Scream 3;5.5;0
Back to the Future Part III;7.4;0
Get Hard;6.0;14000
Bram Stoker's Dracula;7.5;14000
Julie & Julia;7.0;13000
42;7.5;28000
The Talented Mr. Ripley;7.3;0
Dumb and Dumber To;5.7;55000
Eight Below;7.3;11000
The Intern;7.2;54000
Ride Along 2;5.9;0
The Last of the Mohicans;7.8;0
Ray;7.7;0
Sin City;8.1;13000
Vantage Point;6.6;0
I Love You, Man;7.1;0
Shallow Hal;5.9;0
JFK;8.0;0
Big Momma's House 2;4.6;663
The Mexican;6.1;2000
Unbroken;7.2;35000
17 Again;6.4;0
The Other Woman;6.0;16000
The Final Destination;5.2;0
Bridge of Spies;7.6;55000
Behind Enemy Lines;6.4;0
Get Him to the Greek;6.4;12000
Shall We Dance;6.1;0
Small Soldiers;6.1;0
Spawn;5.2;0
The Count of Monte Cristo;7.7;0
The Lincoln Lawyer;7.3;25000
Unknown;6.9;29000
The Prestige;8.5;49000
Horrible Bosses 2;6.3;12000
Escape from Planet Earth;5.9;0
Apocalypto;7.8;14000
The Living Daylights;6.7;0
Predators;6.4;17000
Legal Eagles;5.9;263
Secret Window;6.6;0
The Lake House;6.8;0
The Skeleton Key;6.5;0
The Odd Life of Timothy Green;6.6;11000
Made of Honor;5.8;3000
Jersey Boys;6.9;16000
The Rainmaker;7.1;0
Gothika;5.8;0
Amistad;7.2;0
Medicine Man;6.0;694
Aliens vs. Predator: Requiem;4.7;0
Ri¢hie Ri¢h;5.2;0
Autumn in New York;5.5;0
Music and Lyrics;6.5;0
Paul;7.0;42000
The Guilt Trip;5.8;0
Scream 4;6.2;26000
8MM;6.5;0
The Doors;7.2;0
Sex Tape;5.1;0
Hanging Up;4.7;390
Final Destination 5;5.9;20000
Mickey Blue Eyes;5.8;445
Pay It Forward;7.2;16000
Fever Pitch;6.2;0
Arthur;7.4;301
Drillbit Taylor;5.7;702
A Million Ways to Die in the West;6.1;24000
The Shadow;6.0;0
Extremely Loud & Incredibly Close;6.9;39000
Morning Glory;6.5;0
Get Rich or Die Tryin';5.0;0
The Art of War;5.7;470
Rent;7.0;3000
Bless the Child;5.1;394
The Out-of-Towners;5.3;279
The Island of Dr. Moreau;4.4;0
The Musketeer;4.7;299
The Other Boleyn Girl;6.7;0
Sweet November;6.7;8000
The Reaping;5.7;0
Mean Streets;7.4;0
Renaissance Man;6.1;680
Colombiana;6.4;15000
The Magic Sword: Quest for Camelot;6.2;0
City by the Sea;6.2;416
At First Sight;5.9;0
Torque;4.0;0
City Hall;6.2;309
Showgirls;4.6;0
Marie Antoinette;6.4;0
Kiss of Death;5.9;555
Get Carter;5.1;604
The Impossible;7.6;54000
Ishtar;4.2;754
Fantastic Mr. Fox;7.8;15000
Life or Something Like It;5.8;835
Memoirs of an Invisible Man;5.9;630
Amélie;8.4;39000
New York Minute;4.8;849
Alfie;6.2;0
Big Miracle;6.5;0
The Deep End of the Ocean;6.3;579
Feardotcom;3.3;612
Cirque du Freak: The Vampire's Assistant;5.9;0
Victor Frankenstein;6.0;11000
Duplex;5.8;0
Soul Men;6.5;866
Raise the Titanic;4.7;328
Universal Soldier: The Return;4.1;401
Pandorum;6.8;10000
Impostor;6.2;892
Extreme Ops;4.5;158
Just Visiting;5.8;565
Sunshine;7.3;15000
A Thousand Words;5.9;0
Delgo;4.4;211
The Gunman;5.8;0
Alex Rider: Operation Stormbreaker;5.1;823
Disturbia;6.9;0
Hackers;6.2;12000
The Hunting Party;6.9;0
The Hudsucker Proxy;7.3;0
The Warlords;7.1;0
Nomad: The Warrior;6.0;265
Snowpiercer;7.0;58000
A Monster in Paris;6.8;0
The Last Shot;5.7;89
The Crow;7.6;15000
Baahubali: The Beginning;8.4;21000
The Time Traveler's Wife;7.1;13000
Because I Said So;5.6;0
The Fast and the Furious;6.7;14000
Frankenweenie;7.0;25000
Serenity;8.0;14000
Against the Ropes;5.3;177
Superman III;4.9;0
Grudge Match;6.4;12000
Red Cliff;7.4;0
Sweet Home Alabama;6.1;0
The Ugly Truth;6.5;9000
Sgt. Bilko;5.7;478
Spy Kids 2: Island of Lost Dreams;5.1;478
Star Trek: Generations;6.6;0
The Grandmaster;6.5;13000
Water for Elephants;6.9;33000
3rd Rock from the Sun;7.8;0
Dragon Nest: Warriors' Dawn;6.4;0
The Hurricane;7.6;0
Enough;5.6;0
Heartbreakers;6.2;989
Paul Blart: Mall Cop 2;4.4;8000
Angel Eyes;5.6;689
Joe Somebody;5.5;168
The Ninth Gate;6.7;0
Extreme Measures;6.1;352
Rock Star;6.2;0
Precious;7.3;12000
White Squall;6.6;911
The Thing;8.2;23000
Riddick;6.4;39000
Switchback;6.4;389
Texas Rangers;5.2;474
City of Ember;6.5;0
The Master;7.1;27000
Virgin Territory;4.8;366
The Express;7.3;0
The 5th Wave;5.2;14000
Creed;7.7;70000
The Town;7.6;29000
What to Expect When You're Expecting;5.7;14000
Burn After Reading;7.0;0
Nim's Island;6.0;0
Rush;8.1;83000
Magnolia;8.0;13000
Cop Out;5.6;0
How to Be Single;6.1;15000
Dolphin Tale;6.9;0
Twilight;5.2;19000
John Q;7.0;0
Blue Streak;6.3;0
We're the Millers;7.0;35000
Obitaemyy ostrov;5.3;240
Breakdown;6.9;0
Never Say Never Again;6.2;0
Hot Tub Time Machine;6.4;12000
Dolphin Tale 2;6.4;0
Reindeer Games;5.7;852
A Man Apart;6.1;0
Aloha;5.4;11000
Ghosts of Mississippi;6.7;591
Snow Falling on Cedars;6.8;846
The Rite;6.0;23000
Gattaca;7.8;17000
Isn't She Great;5.3;133
Space Chimps;4.5;279
Head of State;5.4;638
The Hangover;7.8;24000
Ip Man 3;7.2;12000
Austin Powers: The Spy Who Shagged Me;6.6;0
Batman;7.6;12000
There Be Dragons;5.9;2000
Lethal Weapon 3;6.7;0
The Blind Side;7.7;38000
Rush Hour;5.8;0
Spy Kids;5.4;0
Horrible Bosses;6.9;31000
True Grit;7.7;36000
The Devil Wears Prada;6.8;0
Star Trek: The Motion Picture;6.4;0
Identity Thief;5.7;17000
Cape Fear;7.3;0
21;6.8;0
Trainwreck;6.3;25000
Guess Who;5.9;919
The English Patient;7.4;0
L.A. Confidential;8.3;11000
Sky High;6.2;0
In & Out;6.3;0
Species;5.8;0
A Nightmare on Elm Street;7.5;10000
The Cell;6.3;0
The Man in the Iron Mask;6.4;0
Secretariat;7.2;0
TMNT;6.3;0
Radio;6.9;0
Friends with Benefits;6.6;41000
Neighbors 2: Sorority Rising;6.0;0
Saving Mr. Banks;7.5;39000
Malcolm X;7.7;0
This Is 40;6.2;18000
Old Dogs;5.4;0
Underworld: Rise of the Lycans;6.6;0
License to Wed;5.3;913
The Benchwarmers;5.6;0
Must Love Dogs;5.9;0
Donnie Brasco;7.8;0
Resident Evil;6.7;0
Poltergeist;7.4;11000
The Ladykillers;6.2;0
Max Payne;5.4;0
In Time;6.7;52000
The Back-up Plan;5.3;0
Something Borrowed;5.9;13000
Hit the Floor;7.0;265
Black Knight;4.8;0
The Bad News Bears;7.3;0
Street Fighter;3.8;0
The Pianist;8.5;21000
From Hell;6.8;0
The Nativity Story;6.8;0
House of Wax;5.3;0
Closer;7.3;12000
J. Edgar;6.6;16000
Mirrors;6.2;5000
Queen of the Damned;5.2;0
Predator 2;6.2;0
Untraceable;6.2;0
Blast from the Past;6.6;0
Flash Gordon;6.4;12000
Jersey Girl;6.2;0
Alex Cross;5.1;11000
Midnight in the Garden of Good and Evil;6.6;0
Heist;6.1;0
Nanny McPhee Returns;6.1;0
Hoffa;6.6;949
The X Files: I Want to Believe;5.9;0
Ella Enchanted;6.3;0
Concussion;7.1;23000
Abduction;5.0;13000
Valiant;5.6;538
Wonder Boys;7.4;0
Superhero Movie;4.5;0
Broken City;6.2;0
Cursed;5.0;0
Premium Rush;6.5;20000
Hot Pursuit;5.1;0
The Four Feathers;6.5;0
Parker;6.2;17000
Wimbledon;6.3;0
Furry Vengeance;3.8;0
Bait;5.2;0
Krull;6.0;0
Lions for Lambs;6.2;0
Flight of the Intruder;5.7;452
Walk Hard: The Dewey Cox Story;6.7;0
The Shipping News;6.8;0
American Outlaws;6.0;433
The Young Victoria;7.3;0
Whiteout;5.5;0
The Tree of Life;6.7;39000
Knock Off;4.8;471
Sabotage;5.7;10000
The Order;5.1;704
Punisher: War Zone;6.0;0
Zoom;4.2;494
The Walk;7.4;24000
Warriors of Virtue;4.6;0
A Good Year;6.9;9000
Luther;8.6;20000
Radio Flyer;6.9;892
Blood In, Blood Out;8.0;6000
Smilla's Sense of Snow;6.4;561
Femme Fatale;6.3;675
Lion of the Desert;8.4;0
The Horseman on the Roof;7.1;262
Ride with the Devil;6.8;633
Biutiful;7.5;29000
The Lovers;4.5;677
Bandidas;5.7;0
Black Water Transit;7.2;26
The Maze Runner;6.8;38000
Unfinished Business;5.4;0
The Age of Innocence;7.2;0
The Fountain;7.3;23000
Chill Factor;5.2;120
Stolen;5.5;0
Ponyo;7.7;0
The Longest Ride;7.1;23000
The Astronaut's Wife;5.3;1000
I Dreamed of Africa;5.6;314
Playing for Keeps;5.7;0
Mandela: Long Walk to Freedom;7.1;13000
Reds;7.5;0
A Few Good Men;7.6;0
Exit Wounds;5.5;742
Big Momma's House;5.1;1000
Thunder and the House of Magic;6.3;0
The Darkest Hour;4.9;0
Step Up Revolution;6.5;19000
Snakes on a Plane;5.6;4000
The Watcher;5.3;463
The Punisher;6.5;4000
Goal! The Dream Begins;6.8;0
Safe;6.5;12000
Pushing Tin;6.0;783
Star Wars: Episode VI - Return of the Jedi;8.4;14000
Doomsday;6.0;0
The Reader;7.6;15000
Wanderlust;5.6;0
Elf;6.9;21000
Phenomenon;6.4;0
Snow Dogs;5.1;0
Scrooged;7.0;11000
Nacho Libre;5.7;0
Bridesmaids;6.8;27000
This Is the End;6.7;97000
Stigmata;6.2;0
Men of Honor;7.2;0
Takers;6.2;0
The Big Wedding;5.6;0
Big Mommas: Like Father, Like Son;4.4;0
Source Code;7.5;56000
Alive;7.1;0
The Number 23;6.4;10000
The Young and Prodigious T.S. Spivet;7.1;5000
1941;5.9;2000
Dreamer: Inspired by a True Story;6.9;0
A History of Violence;7.5;0
Transporter 2;6.3;0
The Quick and the Dead;6.4;0
Laws of Attraction;5.9;702
Bringing Out the Dead;6.8;0
Repo Men;6.3;12000
Dragon Wars: D-War;3.6;0
Bogus;5.3;350
The Incredible Burt Wonderstone;5.9;13000
Cats Don't Dance;6.9;643
Cradle Will Rock;6.9;625
The Good German;6.1;559
George and the Dragon;5.7;290
Apocalypse Now;8.5;19000
Going the Distance;6.3;0
Mr. Holland's Opus;7.3;0
Criminal;6.3;0
Out of Africa;7.2;0
Flight;7.3;64000
Moonraker;6.3;0
The Grand Budapest Hotel;8.1;149000
Hearts in Atlantis;6.9;0
Arachnophobia;6.3;0
Frequency;7.3;0
Ghostbusters;5.5;62000
Vacation;6.1;28000
Get Shorty;6.9;0
Chicago;7.2;0
Big Daddy;6.4;0
American Pie 2;6.4;0
Toy Story;8.3;0
Speed;7.2;0
The Vow;6.8;32000
Extraordinary Measures;6.5;0
Remember the Titans;7.8;0
The Hunt for Red October;7.6;0
Lee Daniels' The Butler;7.2;41000
Dodgeball: A True Underdog Story;6.7;0
The Addams Family;6.8;5000
Ace Ventura: When Nature Calls;6.3;0
The Princess Diaries;6.2;0
The First Wives Club;6.2;0
Se7en;8.6;39000
District 9;8.0;22000
The SpongeBob SquarePants Movie;7.0;0
Mystic River;8.0;12000
Million Dollar Baby;8.1;14000
Analyze This;6.7;0
The Notebook;7.9;57000
27 Dresses;6.1;0
Hannah Montana: The Movie;4.2;0
Rugrats in Paris: The Movie;6.1;181
The Prince of Tides;6.6;883
Legends of the Fall;7.5;11000
Up in the Air;7.4;19000
About Schmidt;7.2;0
Warm Bodies;6.9;81000
Looper;7.4;75000
Down to Earth;5.4;602
Babe;6.8;5000
Hope Springs;6.3;0
Forgetting Sarah Marshall;7.2;0
Friday Night Lights;8.7;0
Four Brothers;6.9;0
Baby Mama;6.0;0
Hope Floats;5.9;0
Bride Wars;5.4;0
Without a Paddle;5.9;0
13 Going on 30;6.1;0
Midnight in Paris;7.7;78000
The Nut Job;5.8;0
Blow;7.6;13000
Message in a Bottle;6.1;0
Star Trek V: The Final Frontier;5.4;0
Like Mike;5.1;1000
Naked Gun 33 1/3: The Final Insult;6.4;1000
A View to a Kill;6.3;0
The Curse of the Were-Rabbit;7.5;0
P.S. I Love You;7.1;20000
Racing Stripes;5.2;771
Atonement;7.8;12000
Letters to Juliet;6.5;13000
Black Rain;6.6;0
The Three Stooges;5.1;13000
Corpse Bride;7.4;0
Glory Road;7.2;0
Sicario;7.6;59000
Southpaw;7.5;44000
Drag Me to Hell;6.6;11000
The Age of Adaline;7.2;34000
Secondhand Lions;7.6;0
Step Up 3D;6.2;16000
Blue Crush;5.6;0
Stranger Than Fiction;7.6;13000
30 Days of Night;6.6;0
The Cabin in the Woods;7.0;66000
Meet the Spartans;2.7;0
Midnight Run;7.6;0
The Running Man;6.6;0
Little Shop of Horrors;6.9;0
Hanna;6.8;38000
The Family;7.5;0
Mortal Kombat: Annihilation;3.7;1000
Larry Crowne;6.1;0
Carrie;5.9;39000
Take the Lead;6.7;0
Entourage;8.5;0
Gridiron Gang;6.9;0
What's the Worst That Could Happen?;5.5;304
9;7.1;13000
Side Effects;7.1;29000
The Prince and Me;5.9;0
Winnie the Pooh;7.3;0
Dumb and Dumberer: When Harry Met Lloyd;3.4;1000
Bulworth;6.8;0
Get on Up;6.9;11000
One True Thing;7.0;592
Virtuosity;5.5;0
My Super Ex-Girlfriend;5.1;1000
Deliver Us from Evil;6.2;18000
Sanctum;5.9;11000
Little Black Book;5.2;484
The Five-Year Engagement;6.2;11000
Mr 3000;5.5;491
The Next Three Days;7.4;27000
Ultraviolet;4.4;0
Assault on Precinct 13;6.3;999
The Replacement Killers;6.1;629
Fled;5.3;204
Eight Legged Freaks;5.4;0
Love & Other Drugs;6.7;24000
88 Minutes;5.9;0
North Country;7.3;0
The Whole Ten Yards;5.5;462
Splice;5.8;12000
Howard the Duck;4.6;0
Pride and Glory;6.7;0
The Cave;5.1;0
Alex & Emma;5.6;625
Wicker Park;7.0;0
Fright Night;6.4;23000
The New World;6.7;0
Wing Commander;4.1;858
In Dreams;5.5;654
Dragonball: Evolution;2.7;0
The Last Stand;6.4;24000
Godsend;4.8;387
Chasing Liberty;6.1;0
Hoodwinked Too! Hood vs. Evil;4.8;0
An Unfinished Life;7.0;0
The Imaginarium of Doctor Parnassus;6.8;19000
Barney's Version;7.3;0
Trapped;8.2;0
Runner Runner;5.6;0
Antitrust;6.1;0
Glory;7.9;0
Once Upon a Time in America;8.4;12000
Dead Man Down;6.5;0
The Merchant of Venice;7.1;0
The Good Thief;6.6;287
Supercross;4.0;353
Miss Potter;7.0;0
The Promise;5.6;445
DOA: Dead or Alive;4.8;0
The Assassination of Jesse James by the Coward Robert Ford;7.5;0
1911;6.0;0
Little Nicholas;7.2;0
Wild Card;5.6;0
Machine Gun Preacher;6.8;21000
Animals United;4.9;885
The Color of Freedom;7.1;0
United Passions;2.0;0
Grace of Monaco;5.7;6000
A Warrior's Tail;4.1;161
Ripley's Game;6.7;447
Sausage Party;7.5;13000
Pitch Perfect 2;6.5;40000
Walk the Line;7.9;11000
12 Monkeys;7.6;12000
Keeping the Faith;6.4;0
The Borrowers;5.8;0
Frost/Nixon;7.7;0
Confessions of a Dangerous Mind;7.1;3000
Serving Sara;5.3;201
The Boss;5.3;0
Cry Freedom;7.5;0
Mumford;6.9;209
Seed of Chucky;4.9;0
The Jacket;7.1;0
Aladdin;8.0;0
Straight Outta Compton;7.9;76000
Indiana Jones and the Temple of Doom;7.6;0
The Rugrats Movie;5.9;418
Along Came a Spider;6.3;0
Florence Foster Jenkins;7.1;0
Once Upon a Time in Mexico;6.4;0
Die Hard;8.2;25000
Role Models;6.9;0
The Big Short;7.8;99000
Taking Woodstock;6.7;0
Miracle;7.5;0
Dawn of the Dead;7.4;7000
The Wedding Planner;5.2;0
Harlock: Space Pirate;6.5;0
The Royal Tenenbaums;7.6;0
Identity;7.3;11000
Last Vegas;6.6;27000
For Your Eyes Only;6.8;2000
Serendipity;6.9;12000
Timecop;5.8;0
Zoolander;6.6;0
Safe Haven;6.7;23000
Hocus Pocus;6.7;16000
No Reservations;6.3;0
Kick-Ass;7.7;36000
30 Minutes or Less;6.1;0
Dracula 2000;4.9;0
Alexander and the Terrible, Horrible, No Good, Very Bad Day;6.2;12000
Pride & Prejudice;7.8;17000
Blade Runner;8.2;34000
Rob Roy;6.9;0
3 Days to Kill;6.2;10000
We Own the Night;6.9;0
Lost Souls;4.8;209
Winged Migration;8.0;1000
Just My Luck;5.3;0
Mystery, Alaska;6.7;913
The Spy Next Door;5.4;0
A Simple Wish;5.4;517
Ghosts of Mars;4.9;0
Our Brand Is Crisis;6.1;0
Pride and Prejudice and Zombies;5.8;73000
Kundun;7.0;0
How to Lose Friends & Alienate People;6.5;0
Kick-Ass 2;6.6;36000
Captain Alatriste: The Spanish Musketeer;6.1;0
Brick Mansions;5.7;0
Octopussy;6.6;0
Knocked Up;7.0;0
My Sister's Keeper;7.4;15000
Welcome Home, Roscoe Jenkins;5.3;464
A Passage to India;7.4;845
Notes on a Scandal;7.4;0
Rendition;6.8;0
Limitless;7.9;11000
Star Trek VI: The Undiscovered Country;7.2;0
Divine Secrets of the Ya-Ya Sisterhood;6.0;0
The Jungle Book;7.8;65000
Kiss the Girls;6.6;0
The Blues Brothers;7.9;14000
The Sisterhood of the Traveling Pants 2;6.2;894
Joyful Noise;5.7;0
About a Boy;7.1;0
Lake Placid;5.6;2000
Lucky Number Slevin;7.8;10000
The Right Stuff;7.9;0
Anonymous;6.9;15000
The NeverEnding Story;7.4;21000
Dark City;7.7;14000
The Duchess;6.9;0
The Honeymooners;8.7;459
Return to Oz;6.7;0
The Newton Boys;6.0;315
Case 39;6.2;0
Suspect Zero;5.9;817
Martian Child;6.8;0
Spy Kids: All the Time in the World in 4D;3.6;0
Money Monster;6.7;0
Formula 51;6.3;0
Flawless;6.4;0
Mindhunters;6.4;2000
What Just Happened;5.7;845
The Statement;6.2;188
The Magic Flute;6.6;359
Paul Blart: Mall Cop;5.2;0
Freaky Friday;6.1;0
The 40-Year-Old Virgin;7.1;0
Shakespeare in Love;7.2;0
A Walk Among the Tombstones;6.5;15000
Kindergarten Cop;6.0;0
Pineapple Express;7.0;0
Ever After: A Cinderella Story;7.0;0
Open Range;7.5;0
Flatliners;6.6;0
It's Always Sunny in Philadelphia;8.8;0
A Bridge Too Far;7.4;0
Red Eye;6.5;0
Final Destination 2;6.2;0
O Brother, Where Art Thou?;7.8;16000
Legion;5.2;0
Pain & Gain;6.5;43000
In Good Company;6.5;736
Clockstoppers;5.2;874
Silverado;7.2;0
Brothers;7.1;10000
Agent Cody Banks 2: Destination London;4.5;167
New Year's Eve;5.7;20000
Original Sin;6.0;3000
The Raven;6.4;35000
Welcome to Mooseport;5.2;260
Highlander: The Final Dimension;4.3;319
Blood and Wine;6.1;145
Snow White: A Tale of Terror;6.3;0
The Curse of the Jade Scorpion;6.8;826
Accidental Love;4.0;0
Flipper;5.2;504
